subject_id,watch_data_completeness,watch_total_minutes,phone_ema_response_rate,watch_ema_response_rate,total_emas,days_with_phone_data,phone_usage_events,data_quality_score
grumblystiffnessuntainted@timestudy_com,0.0,0,19.472389894925108,86.01348671162236,21551,369.0,1700261,31.64576298196424
gulpprovoloneuniquely@timestudy_com,0.0,0,17.005545286506468,0.0,1082,25.0,19130,5.101663585951941
gushyenstir@timestudy_com,0.0,0,16.240753194351043,68.24981301421093,5648,122.0,438934,25.34716986256859
hacksawscoldingdares@timestudy_com,0.0,0,18.98073113632271,90.53318824809575,13824,227.0,950795,32.85417581532554
hadbubblingharmless@timestudy_com,0.0,0,19.0,0.0,300,9.0,6293,5.7
handcufffootloosecabful@timestudy_com,0.0,0,17.903476907109496,65.9039118875807,20167,373.0,1288832,25.14221663840706
handguncarefullyscale@timestudy_com,0.0,0,16.978193146417446,71.59624413145539,1068,26.0,22310,26.57233118336185
handsfreekosherivy@timestudy_com,0.0,0,17.089049058358523,86.51870873074101,9753,175.0,589868,31.08232733672986
hardyneatnessclobber@timestudy_com,0.0,0,18.04021210782148,49.362340585146285,21049,370.0,1573452,20.22076580789033
hatlesslegacyeducated@timestudy_com,0.0,0,8.695652173913043,0.0,23,2.0,4909,2.6086956521739126
hazingdiscolorsuffering@timestudy_com,0.0,0,18.295403837572515,77.43766122098023,10297,100.0,79467,28.719919517565824
headphoneoutsmartunfailing@timestudy_com,0.0,0,18.921023359288096,63.86283011430823,21675,367.0,1903617,24.8351560420789
headwearskirmishantidote@timestudy_com,0.0,0,21.784608816309103,86.87808583364983,25167,369.0,736955,32.59880839498768
himationlalospheres@timestudy_com,0.0,0,19.348778960551034,80.0,2167,64.0,190238,29.80463368816531
housewagontrivial@timestudy_com,0.0,0,10.73244210129919,91.33893062306673,23507,369.0,1082369,30.621411817309774
huntingevergreendeparted@timestudy_com,0.0,0,22.671353251318102,90.2547065337763,4985,92.0,415070,33.87781793552832
hurlergreedydelirium@timestudy_com,0.0,0,15.034965034965033,0.0,572,23.0,25023,4.51048951048951
hurricaneshrubscoral@timestudy_com,0.0,0,0.0,0.0,4,0.0,0,0.0
idealistsustainerexpansive@timestudy_com,0.0,0,18.549675220956235,97.72986420648905,19038,356.0,980651,34.883861828233584
insectiletussarpoethood@timestudy_com,0.0,0,13.372093023255813,0.0,172,5.0,5554,4.011627906976743
iodinegrapemonstrous@timestudy_com,0.0,0,14.370208105147864,55.44404468850597,9846,72.0,4552,20.944275838096146
itunesgurgleexchange@timestudy_com,0.0,0,16.399484061175603,76.7144517628826,10589,217.0,1325245,27.93418074721746
jitterstankveteran@timestudy_com,0.0,0,12.612612612612612,0.0,111,6.0,37134,3.7837837837837833
jixin2_internal@timestudy_com,0.0,0,0.0,0.0,1,1.0,318,0.0
jixinli@timestudy_com,0.0,0,0.0,72.63157894736842,6092,33.0,65361,21.789473684210527
joyouschevyunissued@timestudy_com,0.0,0,11.16816431322208,0.0,1558,16.0,8938,3.350449293966624
kangaroozodiaccrudeness@timestudy_com,0.0,0,9.633956386292834,87.4111342010281,21983,314.0,609212,29.11352717619628
keennesstwiddlelinked@timestudy_com,0.0,0,17.391304347826086,0.0,23,2.0,5519,5.217391304347825
kelppapyrustransfer@timestudy_com,0.0,0,3.3217884130982367,0.0,12704,107.0,340632,0.996536523929471
kinsmanlargewand@timestudy_com,0.0,0,23.056389723056387,86.95713679445466,23129,369.0,1672426,33.00405795525331
landlordastrologycopy@timestudy_com,0.0,0,11.251236399604352,81.10815265626982,20019,258.0,1070110,27.707816716762252
lappedvastlydebating@timestudy_com,0.0,0,19.462586303414817,80.20036429872496,10849,218.0,958733,29.898885180641933
lardcapablemud@timestudy_com,0.0,0,17.25580422505752,80.07410151908114,23057,367.0,1140701,29.1989717232416
larkshiningaffected@timestudy_com,0.0,0,24.838924683403686,90.55997552019583,22074,368.0,1063634,34.61967006107986
legalsaddledresemble@timestudy_com,0.0,0,22.71293375394322,85.35031847133759,791,27.0,136116,32.41897566758424
lendpavingjugular@timestudy_com,0.0,0,0.0,92.3076923076923,37,2.0,92,27.69230769230769
liablevirtuousplaything@timestudy_com,0.0,0,17.28395061728395,67.17791411042946,1867,46.0,183663,25.33855941831402
livedsciencelinguist@timestudy_com,0.0,0,19.133278822567455,79.11530094271211,5204,91.0,281698,29.47457392958387
lizardcauterizepreplan@timestudy_com,0.0,0,13.841505019982456,76.96270348238204,19965,327.0,647951,27.241262550709347
lyricallymalformedrigor@timestudy_com,0.0,0,19.765166340508806,93.29329329329329,21674,366.0,1727609,33.91753789014063
makerscaldedimmortal@timestudy_com,0.0,0,7.931570762052877,0.0,643,15.0,53902,2.379471228615863
marchtumblingoutbid@timestudy_com,0.0,0,12.262228260869565,68.11325747552263,6723,130.0,335074,24.112645720917655
massagerresidencyenlarging@timestudy_com,0.0,0,16.54498351389543,77.42020228556416,16105,352.0,131058,28.189555739837875
maybebullringthirty@timestudy_com,0.0,0,6.031746031746032,0.0,315,8.0,24689,1.8095238095238093
metepaswevetbrasero@timestudy_com,0.0,0,17.470664928292045,76.51448639157155,9925,188.0,999422,28.195545395959076
modifyjavamodule@timestudy_com,0.0,0,14.343317972350231,78.72441694431224,9410,0.0,0,27.92032047499874
moisturedecodelyricist@timestudy_com,0.0,0,3.6026846732899487,84.992784992785,49712,367.0,758851,26.578640899822485
moocherchemicalsbanker@timestudy_com,0.0,0,16.955229996926544,85.73506891271056,22821,0.0,0,30.80708967289113
moodinessgrandmasynopsis@timestudy_com,0.0,0,15.065458207452165,76.28112594731144,21014,354.0,222665,27.40397524642908
